route,route_class,audience,primary_intent,page_promise,baseline_cta,baseline_destination,baseline_global_endcaps,implemented_cta,implemented_destination,action_owner,disposition,analytics,change_reason,recommendation
"/articles/cash-vs-investing-when-you-feel-behind","article","healthcare_workers","Should You Keep Cash or Invest It? A Practical Decision Framework","Use a practical cash-versus-investing framework based on emergency reserves, near-term expenses, debt, employer matching, and time horizon.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/check-hospital-financial-assistance-before-paying","article","patients_caregivers","Before You Pay a Hospital Bill, Check Financial Assistance","Know when to ask for charity care or financial assistance before draining savings or using a credit card.","2 independently rendered global endcaps","Multiple competing destinations","2","One governed medical_bill endcap","Owner-specific destination","medical_bill","changed","directional_cta_clicked or retained journey-specific event","single_global_endcap_owner","Keep a single route owner; re-add an endcap only with an explicit precedence decision."
"/articles/copd-recovery-after-hospital","article","everyone","COPD Recovery After a Hospital Visit","Organize the medicines, inhalers, equipment, recovery plan, follow-up, and access questions that matter after a COPD-related hospital visit.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/deductible-copay-coinsurance-out-of-pocket-max","article","everyone","Deductible vs. Copay vs. Coinsurance vs. Out-of-Pocket Maximum","Learn the difference between a deductible, copay, coinsurance, and out-of-pocket maximum with a simple medical-bill example.","Two or three equal-weight next-step cards","Multiple competing destinations","1","Estimate visit cost","/tools/health-insurance-visit-cost-calculator","page","changed","directional_cta_clicked or retained journey-specific event","directional_article_handoff","Reassess after 28 days or adequate consented journey evidence."
"/articles/dental-vision-insurance-open-enrollment","article","everyone","Dental and Vision Insurance: What to Check Before Adding Them","Avoid overbuying add-ons by checking annual maximums, frequency limits, and real expected use.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/diagnosis-explained","article","everyone","Diagnosis, Explained: Our Plain-English Guide System","The RN-designed format, publication gates, and nurse-reviewed plain-English diagnosis guides available from Community Acquired Finance.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/disability-insurance-healthcare-workers-open-enrollment","article","everyone","Disability Insurance for Healthcare Workers: The Benefit You Should Not Ignore","Understand short-term and long-term disability before an injury or illness threatens your income.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/discharge-coverage-guide","article","patients_caregivers","Discharge Coverage Guide","Understand which post-hospital costs Medicare may cover after discharge — and which questions families should ask early.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/does-medicare-cover-long-term-care","article","patients_caregivers","Does Medicare Cover Long-Term Care?","A plain-English answer to the Medicare long-term care gap, including the difference between skilled care and custodial care.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/does-medicare-cover-rehab-after-hospital-stay","article","patients_caregivers","Does Medicare Cover Rehab After a Hospital Stay?","Understand when Medicare may cover short-term rehab, what can block coverage, and what families should ask before discharge.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/durable-medical-equipment-after-discharge","article","patients_caregivers","Durable Medical Equipment After Discharge","Learn how walkers, wheelchairs, oxygen, hospital beds, and other equipment may be covered after discharge.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/earn-more-without-burning-out-bedside","article","healthcare_workers","How to Earn More Without Burning Out at Bedside","A career-income guide for healthcare workers who want more money and more options without relying only on extra shifts.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/employer-life-insurance-open-enrollment","article","everyone","Employer Life Insurance: Helpful, But Usually Not a Full Plan","Know what basic life, supplemental life, guaranteed issue, and portability mean before checking the box.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/facility-fee-vs-professional-fee","article","patients_caregivers","Facility Fee vs. Professional Fee: Why One Visit Can Produce Two Bills","Learn the difference between a facility fee and professional fee, why one visit can create two bills, and what to verify before paying.","2 independently rendered global endcaps","Multiple competing destinations","2","One governed medical_bill endcap","Owner-specific destination","medical_bill","changed","directional_cta_clicked or retained journey-specific event","single_global_endcap_owner","Keep a single route owner; re-add an endcap only with an explicit precedence decision."
"/articles/from-the-bedside-long-term-care-medicaid-hospital-delay","article","everyone","From the Bedside: Long-Term Care Medicaid Should Not Wait Until a Crisis","A bedside look at why older adults can get stuck in the hospital while families scramble for long-term care Medicaid, nursing home placement, and a plan to preserve function.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/from-the-bedside-medicare-prescription-cost","article","patients_caregivers","Why Is My Prescription So Expensive If I Have Medicare?","A bedside Medicare drug-cost story showing why a covered prescription can still create a painful pharmacy bill — and what to ask before giving up on it.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/health-fsa-vs-dependent-care-fsa","article","everyone","Health FSA vs Dependent Care FSA: Same Name, Totally Different Use","Do not mix up medical expense money with childcare or dependent-care money.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/healthcare-worker-discounts","article","healthcare_workers","Healthcare Worker Discounts and Perks Directory","Use healthcare discounts without letting them become an excuse to buy things you did not need.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/healthcare-worker-money-map","article","healthcare_workers","The Healthcare Worker Money Map","A plain-English order of operations for turning a healthcare paycheck into savings, retirement contributions, and long-term wealth.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/heart-failure-plan-after-discharge","article","everyone","Heart Failure: Understanding the Plan After Discharge","Turn a complicated heart-failure discharge plan into a clear list of medicines, daily tracking, follow-up, and questions for the treating team.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/home-health-after-discharge","article","patients_caregivers","Home Health After Discharge","Understand what Medicare home health can help with after discharge — and what it usually does not replace.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/hospital-cafe-habit","article","everyone","How Much Does Hospital Cafeteria Spending Cost Per Year?","Calculate the yearly cost of hospital cafeteria meals and coffee, then build a realistic shift-work spending plan instead of an all-or-nothing budget.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/how-healthcare-workers-can-invest-without-picking-stocks","article","healthcare_workers","How Healthcare Workers Can Invest Without Picking Stocks","A simple investing guide for healthcare workers who want long-term growth without turning investing into a second job.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/how-healthcare-workers-should-compare-job-offers","article","everyone","How Healthcare Workers Should Compare Two Job Offers","Compare salary, overtime, differentials, benefits, PTO, insurance premiums, commute burden, and schedule tradeoffs before accepting a healthcare job.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/how-hospital-403b-matching-works","article","healthcare_workers","How Does a Hospital 403(b) Match Work? Examples and Vesting","See how hospital 403(b) matching works, including common formulas, contribution examples, vesting, eligible pay, and 401(a) employer deposits.","Two or three equal-weight next-step cards","Multiple competing destinations","1","Calculate each paycheck","/tools/403b-paycheck-calculator","page","changed","directional_cta_clicked or retained journey-specific event","directional_article_handoff","Reassess after 28 days or adequate consented journey evidence."
"/articles/how-much-should-a-nurse-put-in-403b-per-paycheck","article","healthcare_workers","How Much Should a Nurse Put in a 403(b) Per Paycheck?","A practical paycheck framework for nurses and healthcare workers deciding what 403(b) contribution percentage to start with.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/how-to-pick-retirement-investments-at-work","article","healthcare_workers","How to Pick Retirement Investments at Work","A plain-English guide to target-date funds, S&P 500 index funds, expense ratios, risk, and changing investments inside a workplace retirement account.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/how-to-read-an-eob","article","patients_caregivers","How to Read an Explanation of Benefits (EOB) Before Paying a Medical Bill","Learn how to read an Explanation of Benefits, match it to a medical bill, and verify allowed amount, insurance payment, and patient responsibility.","2 independently rendered global endcaps","Multiple competing destinations","2","Match EOB and bill","/tools/eob-to-bill-match-checker","page","changed","directional_cta_clicked or retained journey-specific event","directional_article_handoff+single_global_endcap_owner","Keep a single route owner; re-add an endcap only with an explicit precedence decision."
"/articles/hsa-vs-fsa-healthcare-workers","article","healthcare_workers","HSA vs FSA: The Plain-English Guide for Healthcare Workers","Know when an HSA, FSA, or both can help lower taxes without creating open-enrollment regret.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/in-network-hospital-out-of-network-bills","article","everyone","In-Network Hospital Does Not Always Mean Every Bill Is In-Network","Understand why separate clinicians or services can create network surprises even when the hospital itself is covered.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/insurance-is-future-planning","article","everyone","Insurance Is Future Planning, Not Just a Monthly Bill","See why health insurance, Medicare, Medicaid, and long-term care planning matter most before a hospitalization, diagnosis, rehab stay, or daily-care need turns coverage into a family financial decision.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/long-term-care-and-custodial-care","article","patients_caregivers","Skilled Care vs. Custodial Care: What Medicare Usually Covers","Learn the difference between skilled care and custodial care, what Medicare may cover, and when Medicaid or separate long-term-care planning may matter.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/managing-money-has-never-been-easier-or-harder","article","healthcare_workers","Managing Money Has Never Been Easier—or Harder","Why financial apps make money easier to manage but harder to stop thinking about—and how selective friction can improve spending and investing decisions.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/medicaid-dual-eligibility-ltss","article","everyone","Medicaid, Dual Eligibility, and LTSS","Understand where Medicaid fits when Medicare does not cover the long-term care a family hoped for.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/medicare-advantage-vs-original-medicare-2026","article","patients_caregivers","Medicare Advantage vs. Original Medicare in 2026: Key Tradeoffs","Compare Medicare Advantage and Original Medicare in 2026 by provider access, premiums, cost sharing, drug coverage, prior authorization, travel, and Medigap.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/medicare-medicaid-changes-january-2027","article","everyone","Medicare and Medicaid Changes Scheduled for January 1, 2027","A plain-English guide to the scheduled 2027 Medicaid eligibility rollout and the practical areas Medicare patients, caregivers, and hospitals should watch.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/medicare-options-explained","article","patients_caregivers","Medicare Options Explained","Understand Original Medicare, Medicare Advantage, Part D, Medigap, and Medicaid without getting buried in insurance language.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/medicare-vs-medicaid-what-is-the-difference","article","patients_caregivers","Medicare vs Medicaid: What Is the Difference?","Separate Medicare and Medicaid in plain English so patients and families know which program solves which problem.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/money-stress-after-hard-shift","article","healthcare_workers","Money Stress After a Hard Shift","How to stop stress from turning into spending, avoidance, or panic decisions after exhausting healthcare work.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/network-checklist-open-enrollment","article","everyone","In-Network Is Not One Checkbox: What to Verify During Open Enrollment","Use a practical network checklist before choosing a plan for the next year.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/new-home-oxygen-nebulizer-guide","article","everyone","New Home Oxygen and Nebulizer Guide","Prepare the equipment, safety, supplier, backup-power, cleaning, and follow-up questions needed before the first night with home oxygen or a nebulizer.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/obbb-overtime-tax-deduction-healthcare-workers","article","healthcare_workers","The OBBB Overtime Tax Deduction, Explained for Healthcare Workers","Understand why the new overtime rule matters, what part of overtime may qualify, and why it is not the same as making every overtime dollar tax-free.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/observation-vs-inpatient-status","article","patients_caregivers","Observation vs Inpatient Status: The Hospital Word That Can Change the Bill","Understand why staying overnight does not always mean a patient was formally admitted as an inpatient.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/open-enrollment-mistakes-healthcare-workers","article","everyone","Open Enrollment Mistakes Healthcare Workers Make Every Year","Avoid the benefit choices that quietly raise risk, reduce take-home pay, or leave healthcare workers underprotected.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/open-enrollment-paycheck-impact","article","everyone","How Open Enrollment Changes Your Paycheck","See how benefit elections stack up before your first paycheck of the new plan year surprises you.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/plain-english-glossary","article","everyone","Plain-English Healthcare Finance Glossary","Insurance and Medicare terms defined like a human, not like a benefits packet.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/premium-deductible-out-of-pocket-open-enrollment","article","everyone","Premium, Deductible, and Out-of-Pocket Max: How to Compare Health Plans","Learn the three numbers that decide whether a health plan is cheap, risky, or actually a good fit.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/prescription-coverage-open-enrollment-checklist","article","everyone","How to Check Prescription Drug Coverage Before Choosing a Health Plan","Check prescription drug coverage before choosing a health plan, including formularies, tiers, pharmacies, deductibles, and prior authorization.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/prior-authorization-explained","article","everyone","What Is Prior Authorization? Why Insurance Can Delay Doctor-Recommended Care","Learn what prior authorization is, why insurance may delay doctor-recommended care, and what to do when a request is pending or denied.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","medical_bill","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/roth-vs-traditional-403b-healthcare-workers","article","healthcare_workers","Roth vs Traditional 403(b) for Healthcare Workers","A practical way to think about current tax savings, future tax flexibility, and paycheck stress when choosing 403(b) contributions.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/safe-hospital-discharge-first-72-hours","article","everyone","Safe Hospital Discharge and the First 72 Hours at Home","Use one practical plan to verify medicines, follow-up, equipment, home support, and unresolved questions before the first night at home.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/savings-rate-that-actually-changes-your-life","article","healthcare_workers","The Savings Rate That Actually Changes Your Life","Why savings rate matters more than tiny budgeting hacks, especially for healthcare workers trying to buy back time.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/short-term-rehab-after-hospital","article","patients_caregivers","Short-Term Rehab After the Hospital","Learn what Medicare and Medicaid may cover when a patient needs rehab after hospitalization.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/spouse-family-health-insurance-open-enrollment","article","everyone","Can You Add a Spouse to Your Health Insurance? Rules, Costs, and Dual Coverage","Learn when you can add a spouse to health insurance, how qualifying life events work, and how to compare surcharges, dual coverage, and family costs.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/use-credit-cards-without-credit-card-debt","article","healthcare_workers","How to Use a Credit Card Without Carrying Credit Card Debt","Learn how to use a credit card, build credit, set up full-balance autopay, use secured-card guardrails, and avoid expensive credit-card debt.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/what-does-medicare-not-cover","article","patients_caregivers","What Does Medicare Not Cover?","A plain-English list of common Medicare coverage gaps that create surprise costs for patients and families.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/what-employer-benefit-changes-should-i-compare","article","healthcare_workers","What Employer-Benefit Changes Should I Compare During Open Enrollment?","Compare the changes that can alter cost, access, employer value, or protection before you repeat last year's elections.","Equal-weight article next-step cards","Article/category-dependent","1","Equal-weight article next-step cards","Article/category-dependent","seo_pathway","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/why-am-i-getting-a-blood-thinner-in-the-hospital","article","everyone","Why Am I Getting a Blood Thinner in the Hospital?","A plain-English explanation of why hospitals use blood thinners, what common options do differently, and what to ask before accepting or declining a dose.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
"/articles/why-did-the-hospital-stop-or-change-my-home-medications","article","everyone","Why Did the Hospital Stop or Change My Home Medications?","A plain-English guide to temporary medication holds, substitutions, timing changes, and the questions that prevent confusion at discharge.","Equal-weight article next-step cards","Article/category-dependent","0","Equal-weight article next-step cards","Article/category-dependent","none","deferred_rank_1","existing contract retained","none","Audit article-specific intent and replace broad fallbacks only with evidence-backed direct handoffs."
